NC/RC,% Ri,shi,0.9/intop1(T)
RC,0.1,0,0.914973646
RC,0.1,0.1,0.914953013
RC,0.1,0.2,0.914945988
RC,0.1,0.3,0.914952429
RC,0.1,0.4,0.91497218
RC,0.1,0.5,0.915005069
RC,0.1,0.6,0.91505091
RC,0.1,0.7,0.915109502
RC,0.1,0.8,0.91518063
RC,0.1,0.9,0.915264067
RC,0.1,1,0.915359573
RC,0.1,1.1,0.915466896
RC,0.1,1.2,0.915585772
RC,0.1,1.3,0.915715929
RC,0.1,1.4,0.915857081
RC,0.1,1.5,0.916008936
RC,0.1,1.6,0.916171191
RC,0.1,1.7,0.916343536
RC,0.1,1.8,0.916525651
RC,0.1,1.9,0.916717213
RC,0.1,2,0.916917892
RC,0.595,0,0.91617879
RC,0.595,0.1,0.91616267
RC,0.595,0.2,0.916160096
RC,0.595,0.3,0.916170922
RC,0.595,0.4,0.916194984
RC,0.595,0.5,0.916232104
RC,0.595,0.6,0.916282091
RC,0.595,0.7,0.916344737
RC,0.595,0.8,0.916419824
RC,0.595,0.9,0.916507117
RC,0.595,1,0.916606372
RC,0.595,1.1,0.916717331
RC,0.595,1.2,0.916839726
RC,0.595,1.3,0.916973279
RC,0.595,1.4,0.9171177
RC,0.595,1.5,0.917272693
RC,0.595,1.6,0.91743795
RC,0.595,1.7,0.917613156
RC,0.595,1.8,0.917797989
RC,0.595,1.9,0.91799212
RC,0.595,2,0.918195218
RC,1.09,0,0.917400089
RC,1.09,0.1,0.917388652
RC,1.09,0.2,0.917390696
RC,1.09,0.3,0.917406071
RC,1.09,0.4,0.917434607
RC,1.09,0.5,0.91747612
RC,1.09,0.6,0.917530414
RC,1.09,0.7,0.917597274
RC,1.09,0.8,0.917676476
RC,1.09,0.9,0.917767782
RC,1.09,1,0.917870941
RC,1.09,1.1,0.91798569
RC,1.09,1.2,0.918111756
RC,1.09,1.3,0.918248856
RC,1.09,1.4,0.918396697
RC,1.09,1.5,0.918554975
RC,1.09,1.6,0.918723381
RC,1.09,1.7,0.918901595
RC,1.09,1.8,0.919089291
RC,1.09,1.9,0.919286138
RC,1.09,2,0.919491799
RC,1.585,0,0.918636048
RC,1.585,0.1,0.918629453
RC,1.585,0.2,0.918636274
RC,1.585,0.3,0.918656355
RC,1.585,0.4,0.91868952
RC,1.585,0.5,0.918735581
RC,1.585,0.6,0.918794334
RC,1.585,0.7,0.91886556
RC,1.585,0.8,0.918949028
RC,1.585,0.9,0.919044496
RC,1.585,1,0.919151707
RC,1.585,1.1,0.919270393
RC,1.585,1.2,0.919400276
RC,1.585,1.3,0.919541069
RC,1.585,1.4,0.919692472
RC,1.585,1.5,0.919854181
RC,1.585,1.6,0.920025879
RC,1.585,1.7,0.920207243
RC,1.585,1.8,0.920397944
RC,1.585,1.9,0.920597647
RC,1.585,2,0.920806012
RC,2.08,0,0.919885202
RC,2.08,0.1,0.919883598
RC,2.08,0.2,0.919895345
RC,2.08,0.3,0.91992028
RC,2.08,0.4,0.919958222
RC,2.08,0.5,0.920008976
RC,2.08,0.6,0.920072332
RC,2.08,0.7,0.920148067
RC,2.08,0.8,0.920235945
RC,2.08,0.9,0.920335716
RC,2.08,1,0.92044712
RC,2.08,1.1,0.920569883
RC,2.08,1.2,0.920703723
RC,2.08,1.3,0.920848347
RC,2.08,1.4,0.921003452
RC,2.08,1.5,0.921168728
RC,2.08,1.6,0.921343856
